date,day of week,sticky bun,year
2020/07/06,2,,2020
2020/07/06,2,,2020
2020/07/08,4,,2020
2020/07/09,5,1,2020
2020/07/10,6,1,2020
2020/07/13,2,,2020
2020/07/17,6,2,2020
2020/07/18,7,,2020
2020/07/21,3,,2020
2020/07/23,5,2,2020
2020/07/27,2,,2020
2020/07/29,4,,2020
2020/07/30,5,2,2020
2020/07/31,6,1,2020
2020/07/31,6,,2020
2020/08/03,2,,2020
2020/08/03,2,,2020
2020/08/04,3,,2020
2020/08/06,5,1,2020
2020/08/07,6,,2020
2020/08/07,6,,2020
2020/08/08,7,1,2020
2020/08/10,2,,2020
2020/08/11,3,,2020
2020/08/12,4,,2020
2020/08/13,5,2,2020
2020/08/14,6,2,2020
2020/08/15,7,2,2020
2020/08/17,2,,2020
2020/08/17,2,,2020
2020/08/18,3,,2020
2020/08/19,4,,2020
2020/08/20,5,,2020
2020/08/21,6,2,2020
2020/08/22,7,1,2020
2020/08/22,7,1,2020
2020/08/23,1,,2020
2020/08/24,2,,2020
2020/08/25,3,,2020
2020/08/26,4,,2020
2020/08/27,5,,2020
2020/08/28,6,,2020
2020/08/30,1,1,2020
2020/09/02,4,,2020
2020/09/03,5,1,2020
2020/09/03,5,,2020
2020/09/05,7,1,2020
2020/09/07,2,,2020
2020/09/08,3,,2020
2020/09/09,4,,2020
2020/09/11,6,1,2020
2020/09/12,7,,2020
2020/09/14,2,,2020
2020/09/15,3,,2020
2020/09/16,4,,2020
2020/09/16,4,,2020
2020/09/17,5,,2020
2020/09/18,6,2,2020
2020/09/21,2,,2020
2020/09/22,3,,2020
2020/09/23,4,,2020
2020/09/23,4,,2020
2020/09/24,5,,2020
2020/09/25,6,1,2020
2020/09/27,1,,2020
2020/09/28,2,,2020
2020/09/29,3,,2020
2020/09/30,4,,2020
2020/10/01,5,1,2020
2020/10/02,6,1,2020
2020/10/02,6,,2020
2020/10/03,7,2,2020
2020/10/03,7,,2020
2020/10/04,1,,2020
2020/10/05,2,,2020
2020/10/05,2,,2020
2020/10/06,3,,2020
2020/10/06,3,,2020
2020/10/07,4,,2020
2020/10/08,5,1,2020
2020/10/09,6,1,2020
2020/10/09,6,,2020
2020/10/10,7,,2020
2020/10/12,2,,2020
2020/10/13,3,,2020
2020/10/13,3,,2020
2020/10/14,4,,2020
2020/10/15,5,1,2020
2020/10/16,6,1,2020
2020/10/16,6,1,2020
2020/10/20,3,,2020
2020/10/21,4,,2020
2020/10/22,5,1,2020
2020/10/23,6,1,2020
2020/10/24,7,1,2020
2020/10/25,1,1,2020
2020/10/26,2,,2020
2020/10/27,3,,2020
2020/10/28,4,,2020
2020/10/29,5,1,2020
2020/10/30,6,2,2020
2020/10/31,7,2,2020
2020/11/01,1,2,2020
2020/11/02,2,,2020
2020/11/02,2,,2020
2020/11/03,3,,2020
2020/11/04,4,1,2020
2020/11/05,5,2,2020
2020/11/05,5,,2020
2020/11/06,6,,2020
2020/11/07,7,,2020
2020/11/08,1,,2020
2020/11/09,2,,2020
2020/11/10,3,,2020
2020/11/11,4,1,2020
2020/11/12,5,2,2020
2020/11/12,5,,2020
2020/11/13,6,2,2020
2020/11/14,7,2,2020
2020/11/16,2,,2020
2020/11/17,3,,2020
2020/11/18,4,,2020
2020/11/19,5,2,2020
2020/11/20,6,,2020
2020/11/21,7,,2020
2020/11/22,1,1,2020
2020/11/23,2,,2020
2020/11/23,2,,2020
